Market-TC,Location,GeoKey
India-Airports,"Lucknow, Cochin, Indira Gandhi, Jaipur, Chattrapati Shivaji, Bangalore, Goa, Kannur, Hyderabad, Mangalore, Amritsar, Sardar Vallabh Bhai Patel, Karipur, Trichy, Anna, Netaji Subhash Chandra Bose Int. Airport","53-AI-407, 53-AI-167, 53-AI-301, 53-AI-312, 53-AI-152, 53-AI-66, 53-AI-256, 53-AI-4151, 53-AI-296, 53-AI-439, 53-AI-34, 53-AI-642, 53-AI-332, 53-AI-735, 53-AI-38, 53-AI-494"
India-Diplomatic,"Delhi, Mumbai, New Delhi","53-DI-1277, 53-DI-3445, 53-DI-1303"
India-Ferries,"Paradip Port, Mangalore","53-FE-1707, 53-FE-1617"
India-Shipchandling,"Mangalore, Kakinada, Visakhapatnam, Cochin, Mundra, Chennai, Gujarat, Kolkatta, Kandla, Tuticorin, Paradip Port, Haldia Port - Kolkatta, Vasco-Da-Gama, Goa, Blair Port, Mumbai","53-SH-2256, 53-SH-3439, 53-SH-2440, 53-SH-2103, 53-SH-2968, 53-SH-2097, 53-SH-3982, 53-SH-2217, 53-SH-2206, 53-SH-2427, 53-SH-3021, 53-SH-2969, 53-SH-2434, 53-SH-2161, 53-SH-2319, 53-SH-2274"
Indonesia-Airports,"Soekarno Hatta, Kualanamu, Ngurah Rai","54-AI-677, 54-AI-3799, 54-AI-500"
Iraq-Airports,"Basrah, Najaf, Baghdad, Suleymania Airport, Erbil International Airport","212-AI-3475, 212-AI-3584, 212-AI-60, 212-AI-3479, 212-AI-303"
Iraq-Borders,"Trbeel, Zerbatia, Munzeria (Khanaqin), Haj Omran, Ibrahim Khalil","212-BO-4285, 212-BO-4284, 212-BO-3480, 212-BO-2736, 212-BO-1070"
Iraq-Diplomatic,"Baghdad, Erbil Downtown","212-DI-4234, 212-DI-2733"
Ireland-Airlines,Dublin,55-AR-839
Ireland-Airports,"Shannon, Cork, Dublin","55-AI-655, 55-AI-178, 55-AI-202"
Ireland-Shipchandling,"Dublin, Killybegs, Cork Port","55-SH-2127, 55-SH-4013, 55-SH-2110"
Israel-Airlines,Tel-Aviv,56-AR-941
Israel-Airports,"Ramon, Tel-Aviv","56-AI-3739, 56-AI-90"
Israel-Borders,"Eilat (Israel-Egypt), Jordan River Crossing (Israel-Jordan), Arava (Israel-Jordan)","56-BO-1202, 56-BO-1074, 56-BO-2961"
Israel-Diplomatic,"Tel-Aviv, Rishon Letsion","56-DI-1328, 56-DI-1318"
Israel-Ferries,Haifa Port,56-FE-1513
Israel-Military,Tel-Aviv,56-MI-2019
Israel-Shipchandling,"Haifa Port, Eilat, Haifa, Ashdod Port","56-SH-2170, 56-SH-2962, 56-SH-2169, 56-SH-2052"
Italy-Airlines,"Rome Fiumicino, Milan","57-AR-846, 57-AR-894"
Italy-Airports,"Bologna, Torino, Pisa, Ciampino Airport, Verona, Milan - Linate, Milan - Malpensa, Rome Fiumicino, Catania, Palermo, Bari, Venice, Naples, Treviso, Genoa, Florence, Bergamo","57-AI-106, 57-AI-725, 57-AI-556, 57-AI-163, 57-AI-754, 57-AI-4027, 57-AI-434, 57-AI-610, 57-AI-143, 57-AI-3503, 57-AI-73, 57-AI-753, 57-AI-489, 57-AI-733, 57-AI-129, 57-AI-228, 57-AI-91"
Italy-Borders,Livigno,57-BO-1100
Italy-Diplomatic,"Rome, Trieste","57-DI-1319, 57-DI-1331"
Italy-Ferries,"Venice, Naples, Palermo, Genoa, Ancona","57-FE-1855, 57-FE-1691, 57-FE-1705, 57-FE-1503, 57-FE-1358"
Italy-Military,"Solbiate, Milano, Naples, Verona, Ferrara, Treviso, Livorno, Decimo, La Spezia, Rome","57-MI-2795, 57-MI-4004, 57-MI-2797, 57-MI-2799, 57-MI-1909, 57-MI-2803, 57-MI-2956, 57-MI-2798, 57-MI-2796, 57-MI-4003"
Italy-Shipchandling,"Genoa, Bari, S. Benedetto del Tronto, Augusta, Naples, Piombino, Civitavecchia, Milazzo, Salerno, Ancona, Taranto, Venice, Livorno, La Spezia, Catania, Trieste, Cagliari, Rome, Ravenna, Trapani","57-SH-2155, 57-SH-2064, 57-SH-3038, 57-SH-2053, 57-SH-2280, 57-SH-2314, 57-SH-2102, 57-SH-2266, 57-SH-3160, 57-SH-2043, 57-SH-2410, 57-SH-2437, 57-SH-2244, 57-SH-2227, 57-SH-2094, 57-SH-2423, 57-SH-2087, 57-SH-2350, 57-SH-2340, 57-SH-2422"
Ivory Coast-Airlines,Abidjan,58-AR-4025
Ivory Coast-Airports,Abidjan,58-AI-5
Ivory Coast-Diplomatic,Abidjan,58-DI-1247
Ivory Coast-Military,Abidjan,58-MI-3071
Jamaica-Airports,"Kingston, Montego Bay","145-AI-509, 145-AI-465"
Jamaica-Ferries,Montego Bay Port,145-FE-1640
Japan-Airlines,Tokyo,59-AR-942
Japan-Airports,"Aomori, Fukushima, Fukuoka, Matsuyama, Oita, Okayama, Miyazaki, Niigata, Sendai, Hakodate, Tokyo - Narita, Saga, Toyama, Takamatsu, Chubu, Shizuoka, Naha, Hokkaido, Kagoshima, Hiroshima, Tokyo - Ginza, Osaka - Kansai, Tokyo - Shinjuku, Tokyo - Haneda, Yonago, Kumamoto, Nagasaki, Chitose, Ibaraki","59-AI-45, 59-AI-239, 59-AI-238, 59-AI-447, 59-AI-520, 59-AI-521, 59-AI-461, 59-AI-504, 59-AI-646, 59-AI-275, 59-AI-490, 59-AI-2761, 59-AI-730, 59-AI-700, 59-AI-162, 59-AI-667, 59-AI-482, 59-AI-292, 59-AI-325, 59-AI-289, 59-AI-4237, 59-AI-329, 59-AI-3481, 59-AI-279, 59-AI-783, 59-AI-364, 59-AI-481, 59-AI-159, 59-AI-297"
Japan-Ferries,"Naha Okinawa, Hakata Port, Shimonoseki Port","59-FE-3629, 59-FE-1515, 59-FE-3812"
Japan-Shipchandling,"Nagoya, Kobe Port, Yokohama Port","59-SH-2275, 59-SH-2216, 59-SH-2458"
Jordan-Airports,"Aqaba, Marka, Amman","60-AI-46, 60-AI-442, 60-AI-33"
Jordan-Borders,"Omari (Saudi border), Sheikh Hussein Bridge (Israel border), Mdawara (Saudi border), Karameh (Iraq border), Aqaba (Saudi border), King Hussein Bridge (Palestine border), Jaber (Syria border)","60-BO-1131, 60-BO-1179, 60-BO-1109, 60-BO-1081, 60-BO-963, 60-BO-1085, 60-BO-1072"
Jordan-Diplomatic,"Aqaba, Amman","60-DI-3933, 60-DI-1253"
Jordan-Ferries,Aqaba Port,60-FE-1362
Jordan-Shipchandling,Aqaba Port,60-SH-3053
Kaliningrad-Airports,Hrabrovo,245-AI-327
Kaliningrad-Borders,"Baltijsk, Kaliningrad (Poland Border), Kaliningrad (Lithuania Border)","245-BO-966, 245-BO-1077, 245-BO-3832"
Kaliningrad-Ferries,Baltijsk,245-FE-3898
Kazakhstan-Airports,"Aktobe, Shymkent, Aktau, Astana, Atyrau, Karaganda, Turkestan, Almaty","61-AI-4024, 61-AI-3887, 61-AI-2876, 61-AI-2690, 61-AI-3675, 61-AI-3436, 61-AI-4035, 61-AI-30"
Kazakhstan-Borders,"Kazakh./Uzbek., Khorgos, Maikapchagai","61-BO-1083, 61-BO-3605, 61-BO-3564"
Kazakhstan-Diplomatic,Astana,61-DI-2760
Kenya-Airlines,Nairobi,62-AR-3730
Kenya-Airports,"Jomo Kenyatta, Moi","62-AI-322, 62-AI-463"
Kenya-Diplomatic,Nairobi,62-DI-1334
Kenya-Shipchandling,"Nairobi, Mombasa Port","62-SH-4283, 62-SH-2268"
Kosovo-Airports,PRISTINA,246-AI-574
Kuwait-Airlines,Kuwait,64-AR-4247
Kuwait-Airports,Kuwait,64-AI-367
Kuwait-Shipchandling,Kuwait FTZ,64-SH-2223
Kyrgyzstan-Airports,Manas,65-AI-436
Kyrgyzstan-Borders,"Torugart, Dostuk, Kayragach, Irkeshtam","65-BO-2784, 65-BO-2782, 65-BO-2785, 65-BO-3435"
Kyrgyzstan-Diplomatic,Bishkek,65-DI-3606
Laos-Airports,"Luang Prabang, Vientiane","66-AI-3102, 66-AI-757"
Laos-Borders,"Savannaket, Boten, Vientiane","66-BO-1200, 66-BO-2869, 66-BO-1230"
Latvia-Airports,Riga,67-AI-599
Latvia-Diplomatic,Riga,67-DI-1315
Latvia-Shipchandling,"Ventspils, Riga","67-SH-2438, 67-SH-2346"
Lebanon-Airlines,Beirut,68-AR-917
Lebanon-Airports,Beirut - Rafik Hariri,68-AI-592
Lebanon-Diplomatic,Beirut,68-DI-1260
Lebanon-Ferries,Beirut Port,68-FE-1381
Lebanon-Military,Beirut,68-MI-3212
Lebanon-Shipchandling,Beirut Port,68-SH-2065
Liberia-Military,Monrovia,147-MI-3177
Libya-Ferries,Misrata,230-FE-4227
Libya-Shipchandling,Misrata,230-SH-4228
Lithuania-Airlines,Kaunas,69-AR-4041
Lithuania-Airports,"Vilnius, Kaunas","69-AI-758, 69-AI-3166"
Lithuania-Diplomatic,Vilnius,69-DI-3671
Lithuania-Shipchandling,Klaipeda,69-SH-2215
Luxembourg-Airlines,Luxembourg,70-AR-886
Luxembourg-Airports,Luxembourg,70-AI-412
Macau-Airports,Macau,71-AI-416
Macau-Borders,Hong Kong – Zhuhai – Macao Bridge (HZMB),71-BO-3895
Macau-Ferries,Macau,71-FE-1614
Macedonia-Airports,"Ohrid, Skopje","149-AI-519, 149-AI-675"
Madagascar-Airports,"Antananarivo, Tulear","150-AI-42, 150-AI-3866"
Madagascar-Diplomatic,"Tamatave, Madagascar","150-DI-1327, 150-DI-1298"
Madagascar-Shipchandling,Antananarivo,150-SH-3465
Malaysia-Airlines,Kuala Lumpur,72-AR-873
Malaysia-Airports,"Kota Kinabalu, Penang, Johor Bahru, Kuala Lumpur, Kuching, W. P. Labuan","72-AI-356, 72-AI-548, 72-AI-321, 72-AI-361, 72-AI-363, 72-AI-764"
Malaysia-Borders,"Bukit Kayu Hitam, Wang Kelian, Durian Burung, Johor Bahru, Pengkalan Hulu, Rantau Panjang, Padang Besar","72-BO-2764, 72-BO-3058, 72-BO-3813, 72-BO-2765, 72-BO-1142, 72-BO-1155, 72-BO-1134"
Malaysia-Shipchandling,"Klang Port, Kuala Lumpur, Pasir Gudang","72-SH-2325, 72-SH-3057, 72-SH-2307"
Maldives-Airports,Male,73-AI-431
Mali-Airports,Bamako,152-AI-432
Mali-Diplomatic,Bamako,152-DI-3648
Mali-Military,"Mopti, Bamako, Timbuktu, Kidal, Gao","152-MI-3080, 152-MI-3078, 152-MI-3081, 152-MI-3209, 152-MI-3079"
Malta-Airports,Luqa,74-AI-411
Malta-Ferries,La Valletta,74-FE-1586
Malta-Shipchandling,La Valletta,74-SH-2228
Martinique-Airports,Fort-de-France,181-AI-230
Martinique-Ferries,Fort-de-France Port,181-FE-1487
Mauritania-Airports,Nouakchott,153-AI-3597
Mauritius-Airlines,Port Louis,75-AR-3195
Mauritius-Airports,Port Louis,75-AI-557
Mauritius-Diplomatic,Port Louis,75-DI-1310
Mauritius-Ferries,Port Louis,75-FE-1722
Mauritius-Shipchandling,Port Louis,75-SH-2262
Mayotte-Airports,Pamandzi,76-AI-542
Mexico-Airports,"Guadalajara, Los Cabos, Puerto Vallarta, Ixtapa Zihuatanejo, Huatulco, Monterrey, Mazatlan, Mexico City, La Paz Manuel Marquez de Leon, Cancun, Cozumel, Acapulco, Queretaro","77-AI-265, 77-AI-405, 77-AI-579, 77-AI-309, 77-AI-3562, 77-AI-467, 77-AI-448, 77-AI-455, 77-AI-392, 77-AI-136, 77-AI-182, 77-AI-8, 77-AI-3472"
Mexico-Borders,Tijuana,77-BO-1207
Mexico-Ferries,"Puerto Progreso, Cozumel Port","77-FE-1743, 77-FE-1441"
Moldova-Airlines,Chisinau,78-AR-3449
Moldova-Airports,Chisinau,78-AI-158
Moldova-Borders,"Moldova/Romania, Moldova/Ukraine","78-BO-1120, 78-BO-1121"
Moldova-Diplomatic,Chisinau,78-DI-2716
Mongolia-Airports,Ulaanbaatar,79-AI-745
Mongolia-Borders,"Altanbulag FTZ, Mongolia/China","79-BO-960, 79-BO-1124"
Mongolia-Diplomatic,Ulaanbaatar,79-DI-1333
Montenegro-Airports,"Tivat, Podgorica","232-AI-721, 232-AI-560"
Montenegro-Ferries,Bar,232-FE-1373
Montenegro-Military,Podgorica,232-MI-3090
Montenegro-Shipchandling,Bar,232-SH-2059
Morocco-Airlines,Casablanca,80-AR-822
Morocco-Airports,"Tangier, Fes, Essaouira, Marrakech, Agadir, Casablanca, Nador, Ouarzazate, Al Hoceima, Oujda, Rabat","80-AI-703, 80-AI-225, 80-AI-3095, 80-AI-443, 80-AI-18, 80-AI-142, 80-AI-3101, 80-AI-535, 80-AI-3431, 80-AI-536, 80-AI-590"
Morocco-Diplomatic,Rabat,80-DI-3094
Morocco-Ferries,Tangier,80-FE-1824
Morocco-Shipchandling,Tangier,80-SH-4229
Mozambique-Airports,"Beira, Maputo","154-AI-4028, 154-AI-2767"
Mozambique-Shipchandling,Pemba,154-SH-3804
Myanmar-Airports,"Nay Pyi Taw, Mandalay, Yangon","155-AI-2918, 155-AI-438, 155-AI-778"
Myanmar-Borders,"Andaman Island, Tachileik, Myawaddy","155-BO-962, 155-BO-1203, 155-BO-3158"
Namibia-Airports,"Katima Mulilo, Windhoek","156-AI-4029, 156-AI-772"
Namibia-Borders,Katima Mulilo,156-BO-3999
Namibia-Shipchandling,"Windhoek, Walvis Bay","156-SH-3738, 156-SH-2443"
Netherlands-Airlines,Amsterdam - Schiphol,49-AR-924
Netherlands-Airports,"Eindhoven, Amsterdam - Schiphol, Rotterdam","49-AI-212, 49-AI-643, 49-AI-613"
Netherlands-Diplomatic,The Hague,49-DI-1329
Netherlands-Ferries,"Barendrecht, Amsterdam, Hoek van Holland, Rotterdam","49-FE-1377, 49-FE-3583, 49-FE-1536, 49-FE-1734"
Netherlands-Military,"Dordrecht, Brunssum, Eibergen, Rotterdam","49-MI-4057, 49-MI-1873, 49-MI-3493, 49-MI-2020"
Netherlands-Shipchandling,"Delfzijl, Hoogvliet, Scheveningen, Vlaardingen, Breskens, Bergschenhoek, Rotterdam, Barendrecht, Harlingen, Schiedam, Spijkenisse, Pernis, Eemshaven, Ijmuiden, Den Helder, Vlissingen","49-SH-2118, 49-SH-2188, 49-SH-2367, 49-SH-2441, 49-SH-2078, 49-SH-2067, 49-SH-2355, 49-SH-2062, 49-SH-2180, 49-SH-2368, 49-SH-2390, 49-SH-2311, 49-SH-2132, 49-SH-2196, 49-SH-2120, 49-SH-2442"
New Zealand-Airports,"Hamilton, Auckland, Wellington, Christchurch, Queenstown","158-AI-3450, 158-AI-57, 158-AI-770, 158-AI-161, 158-AI-2930"
New Zealand-Diplomatic,Auckland,158-DI-4038
New Zealand-Shipchandling,"Auckland, Christchurch","158-SH-2931, 158-SH-2932"
Nicaragua-Airports,Managua,182-AI-435
Nicaragua-Borders,"El Espino, Penas Blancas, Guasaule","182-BO-1017, 182-BO-1140, 182-BO-1037"
Niger-Airports,Niamey,159-AI-503
Nigeria-Airports,"Kano, Abuja, Lagos","82-AI-2769, 82-AI-3164, 82-AI-381"
Nigeria-Shipchandling,Lagos,82-SH-3082
Norway-Airports,"Harstad, Haugesund, Alesund, Svalbard, Sandefjord-Torp, Bergen, Molde, Tromso, Kristiansand, Bodo, Oslo, Stavanger, Kristiansund, Trondheim","83-AI-2823, 83-AI-2824, 83-AI-2821, 83-AI-2677, 83-AI-630, 83-AI-93, 83-AI-2827, 83-AI-2826, 83-AI-360, 83-AI-2822, 83-AI-527, 83-AI-686, 83-AI-3060, 83-AI-738"
Norway-Ferries,"Langesund, Oslo, Sandefjord, Kristiansand, Larvik","83-FE-1533, 83-FE-1699, 83-FE-1771, 83-FE-1532, 83-FE-1534"
Norway-Shipchandling,"Bergen, Tromso, Porsgrunn, Svalbard, Kirkenes, Haugesund, Alesund, Kristiansand, Stavanger, Hammerfest, Oslo","83-SH-2066, 83-SH-2424, 83-SH-2316, 83-SH-2403, 83-SH-2214, 83-SH-2181, 83-SH-2039, 83-SH-2221, 83-SH-2396, 83-SH-2177, 83-SH-2297"
Oman-Airlines,Muscat,84-AR-3482
Oman-Airports,"Salalah, Muscat","84-AI-3429, 84-AI-645"
Oman-Shipchandling,"Seeb, Sohar Port","84-SH-2748, 84-SH-4194"
Oth. Milit.-Lebanon-Military,Beirut,235-MI-1950
Other Balkans-Military,Sarajevo,205-MI-2001
PMIDF Canada New-Airlines,"Vancouver, Montreal","259-AR-3789, 259-AR-3764"
PMIDF Canada New-Diplomatic,Montreal,259-DI-3901
PMIDF Canada New-Shipchandling,"Montreal Port, Vancouver Port, St Johns","259-SH-3766, 259-SH-3791, 259-SH-3782"
Pakistan-Airports,"Islamabad, Lahore","85-AI-305, 85-AI-382"
Panama-Airports,Panama Tocumen,86-AI-723
Panama-Ferries,Colon Port,86-FE-1423
Panama-Shipchandling,Panama Port,86-SH-2302
Paraguay-Airports,Asuncion Silvio Petterossi,87-AI-54
Peru-Airlines,Lima,88-AR-910
Peru-Airports,Lima,88-AI-397
Philippines-Airports,"Manila Downtown Shop, Mactan, Iloilo, Manila - Ninoy Aquino, Kalibo","89-AI-440, 89-AI-417, 89-AI-4326, 89-AI-506, 89-AI-4306"
Poland-Airlines,Warsaw,90-AR-947
Poland-Airports,"Lodz, Lublin, Katowice, Krakow Balice, Szczecin, Rzeszow, Warsaw-Modlin, Gdansk, Olsztyn, Bydgoszcz, Poznan-Lawica, Radom, Warsaw, Wroclaw","90-AI-2730, 90-AI-2731, 90-AI-336, 90-AI-357, 90-AI-2747, 90-AI-3052, 90-AI-3499, 90-AI-248, 90-AI-3497, 90-AI-2741, 90-AI-569, 90-AI-4312, 90-AI-765, 90-AI-774"
Poland-Diplomatic,Warsaw,90-DI-1339
Poland-Military,"Elblag, Bydgoszcz, Sczcecin","90-MI-3930, 90-MI-1882, 90-MI-4051"
Poland-Shipchandling,"Szczecin, Gdansk, Gdynia","90-SH-2406, 90-SH-2153, 90-SH-2154"
Portugal-Airlines,"Porto, Lisbon","91-AR-912, 91-AR-881"
Portugal-Airports,"Faro Airport, Lisbon, Porto, Madeira","91-AI-223, 91-AI-400, 91-AI-565, 91-AI-4334"
Portugal-Diplomatic,"Porto, Lisbon","91-DI-1312, 91-DI-1293"
Portugal-Ferries,Lisbon,91-FE-3489
Portugal-Military,Lisbon,91-MI-1953
Portugal-Shipchandling,"Peniche, Lisbon, Porto","91-SH-2309, 91-SH-2242, 91-SH-2329"
Qatar-Airlines,Doha,92-AR-837
Qatar-Airports,Doha,92-AI-195
Qatar-Shipchandling,Doha Port,92-SH-3161
Reunion-Airports,Roland Garros,93-AI-607
Reunion-Shipchandling,Saint Denis Port,93-SH-2341
Romania-Shipchandling,Constanta,94-SH-2108
Russia-Airlines,Moscow - Sheremetyevo,95-AR-932
Russia-Airports,"Zhukovsky, Moscow - Domodedovo, St. Petersburg Pulkovo, Chelyabinsk, Astrakhan, Khabarovsk, Arkhangelsk, Moscow - Vnukovo, Ufa, Irkutsk, Ekaterinburg, Kazan, Yuzhno-Sakhalinsk, Moscow - Sheremetyevo, Novosibirsk, Sochi, Belgorod, Krasnoyarsk, Rostov Don, Vladivostok, Samara, Tyumen, Voronezh, Volgograd, Min Vody, Krasnodar","95-AI-3486, 95-AI-470, 95-AI-682, 95-AI-153, 95-AI-3033, 95-AI-343, 95-AI-3031, 95-AI-474, 95-AI-744, 95-AI-304, 95-AI-213, 95-AI-339, 95-AI-3039, 95-AI-472, 95-AI-512, 95-AI-676, 95-AI-2866, 95-AI-2867, 95-AI-612, 95-AI-761, 95-AI-2753, 95-AI-3447, 95-AI-2965, 95-AI-2721, 95-AI-457, 95-AI-359"
Russia-Borders,"Russia/Norway, Russian/Latvia, Russia/China, Russia/Ukraine, Russia/Estonia, Russian/Finland, Russian/Georgia, Russian/Azerbaijan, St. Petersburg","95-BO-1167, 95-BO-1166, 95-BO-1161, 95-BO-1168, 95-BO-1163, 95-BO-1164, 95-BO-1165, 95-BO-3568, 95-BO-3073"
Russia-Ferries,St. Petersburg Sea Port,95-FE-2789
Rwanda-Airports,Kigali,255-AI-2819
Saint Helena-Military,Jamestown,260-MI-3740
Saint Helena-Shipchandling,Jamestown,260-SH-3743
Saint Marteen (NL)-Ferries,Philipsburg,264-FE-3959
Samnaun-Borders,Samnaun,184-BO-1171
Saudi Arabia-Airports,"Medina, Jeddah, DAMMAM, RIYADH","98-AI-4309, 98-AI-2710, 98-AI-4021, 98-AI-4022"
Senegal-Airlines,Dakar,99-AR-833
Senegal-Airports,Leopold Sedar Senghar,99-AI-393
Senegal-Shipchandling,Dakar,99-SH-2369
Serbia-Airlines,Belgrade,127-AR-3639
Serbia-Airports,"Belgrade, Kraljevo, Nis","127-AI-87, 127-AI-3879, 127-AI-3504"
Serbia-Diplomatic,Belgrade,127-DI-2950
Serbia-Ferries,Belgrade,127-FE-2948
Serbia-Shipchandling,Belgrade,127-SH-2949
Seychelles-Airports,Victoria,100-AI-650
Seychelles-Shipchandling,Mahe,100-SH-2373
Sierra Leone-Airports,Sierra Leone,162-AI-2676
Singapore-Airports,Singapore - Changi,101-AI-147
Singapore-Ferries,Singapore,101-FE-1792
Singapore-Shipchandling,Singapore,101-SH-2386
Slovakia-Airports,Bratislava,102-AI-114
Slovenia-Ferries,Koper,103-FE-1574
Slovenia-Shipchandling,Koper Port,103-SH-2218
South Africa-Airports,"Johannesburg, Cape Town, Durban","96-AI-319, 96-AI-137, 96-AI-206"
South Africa-Diplomatic,"Brooklyn, Pretoria, Hatfield","96-DI-1267, 96-DI-3810, 96-DI-1284"
South Africa-Shipchandling,"Port Elizabeth (ZA), Cape Town, Durban, Elizabeth Port, Richards Bay","96-SH-3805, 96-SH-2091, 96-SH-2130, 96-SH-2322, 96-SH-2344"
South Korea-Airlines,"Jeju, Seoul, Incheon, Busan","63-AR-3443, 63-AR-3446, 63-AR-2775, 63-AR-3735"
South Korea-Airports,"Cheongju, Jeju, Muan, Incheon (downtown), Daegu (downtown), Seoul (downtown), Seoul, Daegu, Busan - Kimhae (downtown), Incheon, Jeju (downtown), Yangyang, Busan - Kimhae","63-AI-2945, 63-AI-2779, 63-AI-3012, 63-AI-3037, 63-AI-3548, 63-AI-3545, 63-AI-647, 63-AI-3056, 63-AI-3549, 63-AI-300, 63-AI-3547, 63-AI-3011, 63-AI-347"
South Korea-Diplomatic,Seoul (downtown),63-DI-4203
South Korea-Ferries,"Pyeongtaek, Incheon, Gusan, Goseong, Busan","63-FE-1745, 63-FE-1550, 63-FE-1511, 63-FE-3427, 63-FE-1408"
South Korea-Shipchandling,"Busan, Ulsan, Pyeongtaek, Incheon, Masan","63-SH-2084, 63-SH-2428, 63-SH-2333, 63-SH-2200, 63-SH-2261"
South Sudan-Airports,Juba,257-AI-3600
Spain DP-Airports,"Santander, A Coruna, Jerez De La Frontera, Malaga, Santiago De Compostela, Valencia, Mahon Airport, Murcia, Palma De Mallorca, Almeria, Madrid Barajas, Granada, Asturias, Sevilla, Reus, Gerona, Barcelona, Alicante, Ibiza, Bilbao","207-AI-3065, 207-AI-3061, 207-AI-315, 207-AI-430, 207-AI-637, 207-AI-750, 207-AI-425, 207-AI-3064, 207-AI-541, 207-AI-32, 207-AI-421, 207-AI-3063, 207-AI-3062, 207-AI-649, 207-AI-597, 207-AI-250, 207-AI-72, 207-AI-29, 207-AI-299, 207-AI-99"
Spain-Airlines,Madrid,105-AR-2701
Spain-Airports,"Malaga, Almeria, Reus, Jerez De La Frontera, Bilbao, Santander, Alicante, Barcelona, Sevilla, Santiago De Compostela, Gerona, A Coruna, Granada, Asturias, Valencia, Madrid Barajas, Palma De Mallorca, Mahon Airport, Murcia, Ibiza","105-AI-428, 105-AI-31, 105-AI-596, 105-AI-314, 105-AI-98, 105-AI-2745, 105-AI-28, 105-AI-70, 105-AI-648, 105-AI-636, 105-AI-249, 105-AI-2740, 105-AI-2743, 105-AI-2742, 105-AI-749, 105-AI-420, 105-AI-540, 105-AI-424, 105-AI-2744, 105-AI-298"
Spain-Diplomatic,Madrid,105-DI-1299
Spain-Ferries,"Cadiz, Malaga, Algeciras, Valencia, Palma De Mallorca, Tarifa, Madrid, Vigo, Alicante, Almeria, Barcelona, Motril","105-FE-3092, 105-FE-1616, 105-FE-1351, 105-FE-1852, 105-FE-1706, 105-FE-1826, 105-FE-4186, 105-FE-3205, 105-FE-1354, 105-FE-1355, 105-FE-1374, 105-FE-3617"
Spain-Military,Madrid,105-MI-1956
Spain-Shipchandling,"A Coruna, Cadiz, Vigo, Aviles, Bilbao, Celeiro, Valencia, Madrid, Gijon, Cartagena, Huelva, Algeciras, Barcelona, Pasajes - Lezo, Almeria","105-SH-2034, 105-SH-2086, 105-SH-2439, 105-SH-2055, 105-SH-2069, 105-SH-2095, 105-SH-2431, 105-SH-2583, 105-SH-2159, 105-SH-2092, 105-SH-2190, 105-SH-2041, 105-SH-2060, 105-SH-2306, 105-SH-2042"
Sri Lanka-Airlines,Bandaranaike,106-AR-809
Sri Lanka-Airports,"Bandaranaike, Colombo","106-AI-65, 106-AI-3881"
Sri Lanka-Ferries,Colombo Port,106-FE-1422
Sri Lanka-Shipchandling,Colombo,106-SH-2104
Sudan-Airports,Juba (inactive),163-AI-3573
Sudan-Military,Port Sudan,163-MI-3180
Suriname-Airports,Paramaribo,164-AI-545
Suriname-Borders,South Drain,164-BO-1199
Sweden-Airlines,Stockholm Arlanda,107-AR-805
Sweden-Airports,"Umea, Karlstad, Nykoping, Sundsvall, Gothenburg, Norrkoping, Jonkoping, Vaxjo, Kalmar, Lulea, Stockholm Arlanda, Malmo, Orebro","107-AI-746, 107-AI-334, 107-AI-3097, 107-AI-691, 107-AI-383, 107-AI-510, 107-AI-323, 107-AI-3098, 107-AI-328, 107-AI-410, 107-AI-50, 107-AI-433, 107-AI-3438"
Sweden-Ferries,"Helsingborg, Fredrikshavn, Ystad, Vuosaari, Trelleborg, Stockholm, Stockholm, Nynashamn, Stockholm, Aland, Helsinki, Turku, Karlskrona, Stockholm, Varberg, Helsinki, Gothenburg, Gothenburg","107-FE-1519, 107-FE-1700, 107-FE-3625, 107-FE-3843, 107-FE-1842, 107-FE-3848, 107-FE-3842, 107-FE-3627, 107-FE-3043, 107-FE-3044, 107-FE-3839, 107-FE-3847, 107-FE-1568, 107-FE-3841, 107-FE-1853, 107-FE-3840, 107-FE-1509, 107-FE-1508"
Sweden-Shipchandling,"Oskarhamn, Kalmar, Norrkoping, Stromstrad, Lysekil, Gothenburg, Vasteras","107-SH-2296, 107-SH-2205, 107-SH-2291, 107-SH-2399, 107-SH-2249, 107-SH-2163, 107-SH-2435"
Switzerland-Airlines,"Basel, Zurich","108-AR-811, 108-AR-951"
Switzerland-Airports,"Geneva, Zurich, Lugano, Basel","108-AI-169, 108-AI-352, 108-AI-409, 108-AI-76"
Switzerland-Diplomatic,"Geneva, Bern","108-DI-1282, 108-DI-1262"
Taiwan-Airlines,Taipei,111-AR-937
Taiwan-Airports,"Kaohsiung, Taipei - Taoyuan, Taipei Songshan, Taichung, Everrich Downtown Kinmen","111-AI-330, 111-AI-698, 111-AI-2943, 111-AI-697, 111-AI-220"
Taiwan-Shipchandling,Kaohsiung Port,111-SH-2207
Tajikistan-Airports,Dushanbe,110-AI-208
Tanzania-Airports,"Dar Es Salaam, Kilimanjaro, Zanzibar","112-AI-190, 112-AI-346, 112-AI-2818"
Tanzania-Diplomatic,Dar Es Salaam,112-DI-1330
Thailand-Airports,Bangkok Airport,113-AI-68
Togo-Airlines,Togo,114-AR-4023
Togo-Airports,Togo,114-AI-2678
Togo-Diplomatic,Lome,114-DI-3077
Togo-Shipchandling,Togo,114-SH-4244
Trinidad and Tobago-Airports,Piarco,167-AI-554
