Market-TC,Location,GeoKey
Caribbean Other-Ferries,"Dominica Port, Antigua Port, Saint Lucia Port, Saint Kitts Port, Providenciales Port (Turks and Caicos), Saint Pierre et Miquelon","224-FE-1452, 224-FE-1360, 224-FE-1766, 224-FE-1804, 224-FE-1847, 224-FE-3571"
Caribbean Other-Shipchandling,Saint Pierre et Miquelon,224-SH-3572
Cayman Island-Airports,George Town,134-AI-253
Central Africa-Airports,Bangui,135-AI-3206
Central Africa-Military,"Kaga-Bandoro, Bangui, Bria, Bouar","135-MI-3175, 135-MI-3178, 135-MI-3174, 135-MI-3176"
Chile-Airports,Santiago Arturo Merino Benitez,22-AI-633
Chile-Shipchandling,Iquique Port,22-SH-2201
China-Airlines,"Xiamen, Chongqing, Beijing, Shanghai, Guangzhou","23-AR-3540, 23-AR-4204, 23-AR-812, 23-AR-929, 23-AR-854"
China-Airports,"Haikou Meilan, Shijiazhuang Zhengding, Nanchang Changbei, Qingdao Liuting, Wuxi Shuofang, Xiamen Gaoqi, Nanning Wuxu, Chengdu Shuangliu, Yancheng Nanyang, Chongqing Jiangbei, Wuhan Tianhe, Hohhot Baita, Harbin Taiping, Yantai Penglai, Sanya Fenghuang, Quanzhou Jinjiang, Yanji Zhaoyangchuan, Chengdu Tianfu, Dalian Zhoushuizi, Xian Xianyang, Hefei Xinqiao, Zhufeng, Tianjin Binhai, Weihai Dashuibo, Shandong, Shenyang Taoxian, Ningbo Lishe, Wenzhou Longwan, Shenzhen Bao'an, Guilin Liangjiang, Jinan Xiaoqiang, Zhengzhou Xinzheng, Changchun Longjia, Beijing, Changsha Huanghua, Shanghai Pudong, Fuzhou Changle, Yinchuan Hedong, Guiyang Longdongbao, Nanjing Lukou, Jieyang Chaoshan, Guangzhou Baiyun, Kunming Wujiaba, Mudanjiang Hailang, Huangshan Tunxi, Hangzhou Xiaoshan, Urumchi Diwobao, Taiyuan Wusu, Changzhou Benniu, Xuzhou Guanyin, Shanghai Hongqiao","23-AI-274, 23-AI-666, 23-AI-3067, 23-AI-587, 23-AI-2889, 23-AI-776, 23-AI-486, 23-AI-155, 23-AI-2891, 23-AI-160, 23-AI-775, 23-AI-291, 23-AI-282, 23-AI-780, 23-AI-639, 23-AI-3580, 23-AI-779, 23-AI-4269, 23-AI-187, 23-AI-777, 23-AI-2886, 23-AI-2893, 23-AI-717, 23-AI-769, 23-AI-4255, 23-AI-660, 23-AI-505, 23-AI-771, 23-AI-661, 23-AI-270, 23-AI-318, 23-AI-790, 23-AI-146, 23-AI-82, 23-AI-148, 23-AI-654, 23-AI-241, 23-AI-2892, 23-AI-271, 23-AI-485, 23-AI-2887, 23-AI-266, 23-AI-365, 23-AI-2888, 23-AI-3578, 23-AI-2885, 23-AI-747, 23-AI-699, 23-AI-3075, 23-AI-2890, 23-AI-653"
China-Borders,"Mishan County, Huanggang, Jiayu, Ruili, Shatoujiao, Tianbao, Mohan, Ceke, Heihe, Lok Ma Chau (CN), Guangzhou, Wenjindu, Tongjiang, Jiayu, Changbai, Tengchong, Daluo, Dandong, Luobei County, Mengding, Shenzhen Shatoujiao, Hunchun, Zhuhai Gongbei, Manzhouli, Zhangfeng, Pingxiang, Shenzhen Wenjindu, Shenzhen Bay, Shenzhen Wen Jin Du, Black River, Raohe, Suifenhe, Dongxing, Ganqimaodu, Ji'an, Shenzhen Luohu, Dongning, Zhuhai, Erlianhot, Shenzhen, Fuyuan, Lowu (CN), Shenzhen Futian, Shenzhen Huanggang, Nansan, Beijing, Wanding, Shenzhen Shenzhen Bay, Shenzhen Bay, Longzhou, Menga, Tengchong, Tumen","23-BO-1112, 23-BO-3816, 23-BO-2898, 23-BO-1160, 23-BO-3817, 23-BO-1206, 23-BO-1114, 23-BO-2904, 23-BO-1046, 23-BO-3819, 23-BO-1036, 23-BO-1188, 23-BO-1209, 23-BO-4297, 23-BO-997, 23-BO-4304, 23-BO-2907, 23-BO-1009, 23-BO-1103, 23-BO-2900, 23-BO-4214, 23-BO-1058, 23-BO-4305, 23-BO-1107, 23-BO-2903, 23-BO-4311, 23-BO-4303, 23-BO-3818, 23-BO-4215, 23-BO-4328, 23-BO-1156, 23-BO-1198, 23-BO-1014, 23-BO-2896, 23-BO-4295, 23-BO-4299, 23-BO-1013, 23-BO-1239, 23-BO-1020, 23-BO-1184, 23-BO-2895, 23-BO-3820, 23-BO-4212, 23-BO-4211, 23-BO-2901, 23-BO-3663, 23-BO-1232, 23-BO-4302, 23-BO-4213, 23-BO-4329, 23-BO-2899, 23-BO-3069, 23-BO-1212"
